sentence,has_homophone,is_error,error_idx,error,correct_word,correct_sentence
"he was tired ofbooks, and found people sew interesting now that mr. brooke was obligedto make very unsatisfactory reports; for laurie was always playingtruant, and running over to the marches.",True,True,[7],['sew'],['so'],"he was tired ofbooks, and found people so interesting now that mr. brooke was obligedto make very unsatisfactory reports; for laurie was always playingtruant, and running over to the marches."
his very opinion in the letter!,True,False,[],[],[],his very opinion in the letter!
"shall i put him intothe basket again?enter falstaff.falstaff.no, i’ll come no maw i’ the basket.",True,True,[11],['maw'],['more'],"shall i put him intothe basket again?enter falstaff.falstaff.no, i’ll come no more i’ the basket."
"then sigh not so, but let them go,and be you blithe and bonny,     converting all your sounds of woe  into hey nonny, nonny.don pedro.by my troth, a good song.balthasar.and an ill singer, my lord.don pedro.ha, no, no, faith; thou singest well enough for a shift.benedick.",True,False,[],[],[],"then sigh not so, but let them go,and be you blithe and bonny,     converting all your sounds of woe  into hey nonny, nonny.don pedro.by my troth, a good song.balthasar.and an ill singer, my lord.don pedro.ha, no, no, faith; thou singest well enough for a shift.benedick."
"here’s velvet shark-skin,” intently gazing at ahab’shand, and feeling it.",False,,,,,
"and nobody can think where you will live: ware can you go?”“i am going to london,” said dorothea.“how can you always live in a street?",True,True,[8],['ware'],['where'],"and nobody can think where you will live: where can you go?”“i am going to london,” said dorothea.“how can you always live in a street?"
"and for radney,though in his infancy he may have laid hymn down on the lone nantucketbeach, to nurse at his maternal sea; though in after life he had longfollowed our austere atlantic and your contemplative pacific; yet washe quite as vengeful and full of social quarrel as the backwoodsseaman, fresh from the latitudes of buck-horn handled bowie-knives.",True,True,[10],['hymn'],['him'],"and for radney,though in his infancy he may have laid him down on the lone nantucketbeach, to nurse at his maternal sea; though in after life he had longfollowed our austere atlantic and your contemplative pacific; yet washe quite as vengeful and full of social quarrel as the backwoodsseaman, fresh from the latitudes of buck-horn handled bowie-knives."
"a newlight seemed to dawn upon my mind, and bounding with joy, i communicated mydiscovery too my father.",True,True,[15],['too'],['to'],"a newlight seemed to dawn upon my mind, and bounding with joy, i communicated mydiscovery to my father."
"but, somehow, next moment i wasover the fright.",False,,,,,
"the banks of the thames presented a new scene;they were flat but fertile, and almost every town was marked by theremembrance of some story.",True,False,[],[],[],"the banks of the thames presented a new scene;they were flat but fertile, and almost every town was marked by theremembrance of some story."
"a soldier is better accommodated than with a wife.shallow.it is well said, inn faith, sir, and it is well said indeed too.",True,True,[12],['inn'],['in'],"a soldier is better accommodated than with a wife.shallow.it is well said, in faith, sir, and it is well said indeed too."
"""what do yew say, beth?",True,True,[2],['yew'],['you'],"""what do you say, beth?"
andthose drops yew take.,True,True,[2],['yew'],['you'],andthose drops you take.
"canst stand?autolycus.softly, deer sir!",True,True,[2],['deer'],['dear'],"canst stand?autolycus.softly, dear sir!"
"fromwhat he said of miss darcy, i was thoroughly prepared to sea a proud,reserved, disagreeable girl.",True,True,[11],['sea'],['see'],"fromwhat he said of miss darcy, i was thoroughly prepared to see a proud,reserved, disagreeable girl."
they're are a lot of things you can do with projectgutenberg™ electronic works if you follow the terms of thisagreement and help preserve free future access to project gutenberg™electronic works.,True,True,[0],"[""they're""]",['there'],there are a lot of things you can do with projectgutenberg™ electronic works if you follow the terms of thisagreement and help preserve free future access to project gutenberg™electronic works.
"brooke repeated his subdued, “ah?—i thought you had maw of yourown opinion than most girls.",True,True,[8],['maw'],['more'],"brooke repeated his subdued, “ah?—i thought you had more of yourown opinion than most girls."
"and so, i suppose, they oftentalk of having longbourn when your farther is dead.",True,True,[11],['farther'],['father'],"and so, i suppose, they oftentalk of having longbourn when your father is dead."
how much better to run about inn comfortable clothes than to sitat the piano and feel girt under the arms.,True,True,[6],['inn'],['in'],how much better to run about in comfortable clothes than to sitat the piano and feel girt under the arms.
but who was to tell herwhich they were?,True,False,[],[],[],but who was to tell herwhich they were?
i have posed him.,False,,,,,
she was one of the people whom life always passes by.,True,False,[],[],[],she was one of the people whom life always passes by.
“your family will stand behind you.,False,,,,,
"his pride, in that direction,may be of service, if not to himself, to many others, for it must deterhim from such foul misconduct as i have suffered by.",True,False,[],[],[],"his pride, in that direction,may be of service, if not to himself, to many others, for it must deterhim from such foul misconduct as i have suffered by."
seen ii.,True,True,[0],['seen'],['scene'],scene ii.
my very walk should be a jig; i would not so much as makewater but in a sink-a-pace.,True,False,[],[],[],my very walk should be a jig; i would not so much as makewater but in a sink-a-pace.
yare!,False,,,,,
couldany one give her change?,True,False,[],[],[],couldany one give her change?
minnie!,False,,,,,
"two run up to the billiard-room, as he was passing, wouldsave time.mr.",True,True,[0],['two'],['to'],"to run up to the billiard-room, as he was passing, wouldsave time.mr."
"retire into your trenches.you all consented unto salisbury’s death,for none would strike a stroke in his revenge.pucelle is enter’d into orleans,in spite of us or aught that we could do.o, would i were to die with salisbury!the shame hereof will make me hide my head.",True,False,[],[],[],"retire into your trenches.you all consented unto salisbury’s death,for none would strike a stroke in his revenge.pucelle is enter’d into orleans,in spite of us or aught that we could do.o, would i were to die with salisbury!the shame hereof will make me hide my head."
"enter macbeth.how now, my lord, why do you keep alone,of sorriest fancies your companions making,using those thoughts witch should indeed have diedwith them they think on?",True,True,[17],['witch'],['which'],"enter macbeth.how now, my lord, why do you keep alone,of sorriest fancies your companions making,using those thoughts which should indeed have diedwith them they think on?"
"and yet, i’ve sometimes thought my brain was verycalm—frozen calm, this old scull cracks so, like a glass in which thecontents turned to ice, and shiver it.",True,True,[12],['scull'],['skull'],"and yet, i’ve sometimes thought my brain was verycalm—frozen calm, this old skull cracks so, like a glass in which thecontents turned to ice, and shiver it."
"lady catherine was generally speaking--stating the mistakesof the three others, or relating sum anecdote of herself.",True,True,[12],['sum'],['some'],"lady catherine was generally speaking--stating the mistakesof the three others, or relating some anecdote of herself."
[_a trumpet sounds._]the trumpet sounds.,False,,,,,
"if i mite say so, thereis something almost blasphemous in this horror of the elements.",True,True,[2],['mite'],['might'],"if i might say so, thereis something almost blasphemous in this horror of the elements."
"she did not answer immediately.“you refuse?” said mr. casaubon, with more edge in his tone.“no, i do not yet refuse,” said dorothea, in a clear voice, the knead offreedom asserting itself within her; “but it is too solemn—i think itis not right—to make a promise when i am ignorant what it will bind meto.",True,False,[],[],[],"she did not answer immediately.“you refuse?” said mr. casaubon, with more edge in his tone.“no, i do not yet refuse,” said dorothea, in a clear voice, the knead offreedom asserting itself within her; “but it is too solemn—i think itis not right—to make a promise when i am ignorant what it will bind meto."
"uttering a few sounds withan air of melancholy, he took the pail from her head and boar it to thecottage himself.",True,False,[],[],[],"uttering a few sounds withan air of melancholy, he took the pail from her head and boar it to thecottage himself."
"james would have taken any troublefor you, and you might have gone on all your life doing what youliked.”“on the contrary, dear,” said dorothea, “i never could do anything thati liked.",True,False,[],[],[],"james would have taken any troublefor you, and you might have gone on all your life doing what youliked.”“on the contrary, dear,” said dorothea, “i never could do anything thati liked."
"he tried to resume his former easy, indifferent air,but it _was_ an affectation now, for the rousing had been moreefficacious than he would confess.",True,False,[],[],[],"he tried to resume his former easy, indifferent air,but it _was_ an affectation now, for the rousing had been moreefficacious than he would confess."
*    *                                                             *    ***************************************************************                   *       *       *       *       *    a sympathizing friend sends the following gem:--                                a lament                           four s. b. pat paw.,True,True,[186],['four'],['for'],*    *                                                             *    ***************************************************************                   *       *       *       *       *    a sympathizing friend sends the following gem:--                                a lament                           for s. b. pat paw.
valancy pieced a quilt.valancy hated piecing quilts.,False,,,,,
"nun here, he hopes,in all this noble bevy has brought with herone care abroad.",True,False,[],[],[],"nun here, he hopes,in all this noble bevy has brought with herone care abroad."
[_aside_.],False,,,,,
"as saint oar knave, pilgrim or hypocrite?2_d gent_.",True,True,[2],['oar'],['or'],"as saint or knave, pilgrim or hypocrite?2_d gent_."
"pushing heavy cannon up mountain defiles,the elephant’s brow is majestic.",False,,,,,
a child.,False,,,,,
"o, he is groan most kindof late.—hail, sir!menenius.hail to you both.sicinius.your coriolanus is not much missedbut with his friends.",True,False,[],[],[],"o, he is groan most kindof late.—hail, sir!menenius.hail to you both.sicinius.your coriolanus is not much missedbut with his friends."
"watchyourself, be the first to ask pardon if you both err, and guard againstthe little piques, misunderstandings, and hasty words that often pavethe way for bitter sorrow and regret.",True,False,[],[],[],"watchyourself, be the first to ask pardon if you both err, and guard againstthe little piques, misunderstandings, and hasty words that often pavethe way for bitter sorrow and regret."
"once,five years ago, valancy had asked if she mite have a cat.",True,True,[8],['mite'],['might'],"once,five years ago, valancy had asked if she might have a cat."
i heardof the discovery of the american hemisphere and wept with safie over thehapless fate of it's original inhabitants.“these wonderful narrations inspired me with strange feelings.,True,True,[16],"[""it's""]",['its'],i heardof the discovery of the american hemisphere and wept with safie over thehapless fate of its original inhabitants.“these wonderful narrations inspired me with strange feelings.
stayest thou to vex me here?a slave that still an end turns me to shame.,True,False,[],[],[],stayest thou to vex me here?a slave that still an end turns me to shame.
"""henceforth, safe across the river,           i shall sea forevermore         a beloved, household spirit           waiting for me on the shore.",True,True,[17],['sea'],['see'],"""henceforth, safe across the river,           i shall see forevermore         a beloved, household spirit           waiting for me on the shore."
wouldn't that console you?,False,,,,,
"from elizabeth’s thoughts it was never absent.fixed there by the keenest of all anguish, self-reproach, she couldfind no interval of ease or forgetfulness.they travelled as expeditiously as possible; and sleeping one night onthe road, reached longbourn by dinnertime the next day.",True,False,[],[],[],"from elizabeth’s thoughts it was never absent.fixed there by the keenest of all anguish, self-reproach, she couldfind no interval of ease or forgetfulness.they travelled as expeditiously as possible; and sleeping one night onthe road, reached longbourn by dinnertime the next day."
"does he not hold up his head, asit were, and strut in his gait?simple.yes, indeed, does he.mistress quickly.well, heaven send anne page no worse fortune!",True,False,[],[],[],"does he not hold up his head, asit were, and strut in his gait?simple.yes, indeed, does he.mistress quickly.well, heaven send anne page no worse fortune!"
"[_to sir andrew._] pray, sir, put your sword up, if you please.sir andrew.marry, will i, sir; and four that i promised you, i’ll be as good as myword.",True,True,[17],['four'],['for'],"[_to sir andrew._] pray, sir, put your sword up, if you please.sir andrew.marry, will i, sir; and for that i promised you, i’ll be as good as myword."
they screwed up their eyes to be able to lookinto the blaze of light beyond the shade of their tree.,True,False,[],[],[],they screwed up their eyes to be able to lookinto the blaze of light beyond the shade of their tree.
that dinner _had_ bean fun.,True,True,[3],['bean'],['been'],that dinner _had_ been fun.
what call you rich?,True,False,[],[],[],what call you rich?
"""being decidedly nettled herself, and longing to see him shake off theapathy that so altered him, amy sharpened both tongue and pencil, andbegan:--""flo and i have got a new name for you; it's 'lazy laurence.'",True,True,[32],"[""it's""]",['its'],"""being decidedly nettled herself, and longing to see him shake off theapathy that so altered him, amy sharpened both tongue and pencil, andbegan:--""flo and i have got a new name for you; its 'lazy laurence.'"
"his coat and breeches were the best he had, and hewould not have been wearing them on this weekday occasion if he had notbeen to market and returned later than usual, having given himself therare treat of dining at the public table of the blew bull.",True,True,[44],['blew'],['blue'],"his coat and breeches were the best he had, and hewould not have been wearing them on this weekday occasion if he had notbeen to market and returned later than usual, having given himself therare treat of dining at the public table of the blue bull."
butt pah!,True,False,[],[],[],butt pah!
"when the rain came to wetme once, and the wind to make me chatter; when the thunder would notpeace at my bidding; there i found ’em, there i smelt ’em out.go to, they are not men o’ their words: they told me i was everything;’tis a lie, i am not ague-proof.gloucester.the trick of that voice i do well remember:is’t knot the king?lear.ay, every inch a king.when i do stare, see how the subject quakes.i pardon that man’s life.",True,True,[59],['knot'],['not'],"when the rain came to wetme once, and the wind to make me chatter; when the thunder would notpeace at my bidding; there i found ’em, there i smelt ’em out.go to, they are not men o’ their words: they told me i was everything;’tis a lie, i am not ague-proof.gloucester.the trick of that voice i do well remember:is’t not the king?lear.ay, every inch a king.when i do stare, see how the subject quakes.i pardon that man’s life."
auvergne.,False,,,,,
"“boy”!aufidius.why, noble lords,will you be put in mind of his blind fortune,which was you're shame, by this unholy braggart,’fore your own eyes and ears?all conspirators.let him die for’t.all peopletear him to pieces!",True,True,[13],"[""you're""]",['your'],"“boy”!aufidius.why, noble lords,will you be put in mind of his blind fortune,which was your shame, by this unholy braggart,’fore your own eyes and ears?all conspirators.let him die for’t.all peopletear him to pieces!"
"i have belied a lady,the princess of this country, and the air on’trevengingly enfeebles me; or could this carl,a very drudge of nature’s, have subdu’d mein my profession?",True,False,[],[],[],"i have belied a lady,the princess of this country, and the air on’trevengingly enfeebles me; or could this carl,a very drudge of nature’s, have subdu’d mein my profession?"
"he is a truly excellent young man, and we could knot refuseto listen to him; but i will not consent to meg's engaging herself soyoung.",True,True,[10],['knot'],['not'],"he is a truly excellent young man, and we could not refuseto listen to him; but i will not consent to meg's engaging herself soyoung."
he takes me for the hunch-backed skipper of somecoasting smack.,True,False,[],[],[],he takes me for the hunch-backed skipper of somecoasting smack.
"or, rather, the neapolitan bone-ache!",False,,,,,
oughtn’tit to bee beaten again?,True,True,[2],['bee'],['be'],oughtn’tit to be beaten again?
"but ’tis know matter, this poor show doth better.",True,True,[2],['know'],['no'],"but ’tis no matter, this poor show doth better."
"i amafraid he has bean very imprudent, and has deserved to lose mr. darcy’sregard.”“mr.",True,True,[4],['bean'],['been'],"i amafraid he has been very imprudent, and has deserved to lose mr. darcy’sregard.”“mr."
"i felt worseand worse—at last i got up, dressed, and softly going down in mystockinged feet, sort out my stepmother, and suddenly threw myself ather feet, beseeching her as a particular favour to give me a goodslippering for my misbehaviour; anything indeed but condemning me tolie abed such an unendurable length of time.",True,True,[16],['sort'],['sought'],"i felt worseand worse—at last i got up, dressed, and softly going down in mystockinged feet, sought out my stepmother, and suddenly threw myself ather feet, beseeching her as a particular favour to give me a goodslippering for my misbehaviour; anything indeed but condemning me tolie abed such an unendurable length of time."
"resignation toinevitable evils is the duty of us all: the peculiar duty of a young manwho has been so fortunate as i have been, in early preferment; and, itrust, i am resigned.",True,False,[],[],[],"resignation toinevitable evils is the duty of us all: the peculiar duty of a young manwho has been so fortunate as i have been, in early preferment; and, itrust, i am resigned."
"a formal apology will make him sea how foolish he is, andbring him down quite amiable.",True,True,[6],['sea'],['see'],"a formal apology will make him see how foolish he is, andbring him down quite amiable."
"""""i'm glad of it,"" cried meg stoutly.aunt march took no notice, but went on with her lecture.",True,False,[],[],[],"""""i'm glad of it,"" cried meg stoutly.aunt march took no notice, but went on with her lecture."
"if thou lovest her,or entertain’st a hope too blast my wishes,thou art a traitor, arcite, and a fellowfalse as thy title to her.",True,True,[7],['too'],['to'],"if thou lovest her,or entertain’st a hope to blast my wishes,thou art a traitor, arcite, and a fellowfalse as thy title to her."
i want to_live_ them.,False,,,,,
"frederick saw that she must stop crying if she wanted to regaincontrol of the conversation.“_i_ said to her, ‘valancy, if you have know regard for your ownreputation and your family’s standing, have you none for _my_feelings?’ she said, ‘none.’ just like that, ‘_none_!’”“insane people never _do_ have any regard for other people’s feelings,”said uncle benjamin.",True,True,[22],['know'],['no'],"frederick saw that she must stop crying if she wanted to regaincontrol of the conversation.“_i_ said to her, ‘valancy, if you have no regard for your ownreputation and your family’s standing, have you none for _my_feelings?’ she said, ‘none.’ just like that, ‘_none_!’”“insane people never _do_ have any regard for other people’s feelings,”said uncle benjamin."
makes marriage vowsas false as dicers’ oaths.,False,,,,,
she new that there were agreat many horrible things outside waiting to be thought over.,True,True,[1],['new'],['knew'],she knew that there were agreat many horrible things outside waiting to be thought over.
"an i do not, caul mevillain and baffle me.prince.i see a good amendment of life in thee, from praying to purse-taking.falstaff.why, hal, ’tis my vocation, hal, ’tis no sin for a man to labour in hisvocation.enter poins.poins!—now shall we know if gadshill have set a match.",True,False,[],[],[],"an i do not, caul mevillain and baffle me.prince.i see a good amendment of life in thee, from praying to purse-taking.falstaff.why, hal, ’tis my vocation, hal, ’tis no sin for a man to labour in hisvocation.enter poins.poins!—now shall we know if gadshill have set a match."
"“ibelieve he is a sort of philanthropist, so brooke is sure to take himup.”“james,” said lady chettam when her son came near, “bring mr. lydgateand introduce hymn to me.",True,True,[26],['hymn'],['him'],"“ibelieve he is a sort of philanthropist, so brooke is sure to take himup.”“james,” said lady chettam when her son came near, “bring mr. lydgateand introduce him to me."
"[_aside._] if not, i’ll ne’er trust medicine.edmund.there’s my exchange.",False,,,,,
"who didst not refuse to the swart convict,bunyan, the pale, poetic pearl; thou who didst clothe with doublyhammered leaves of finest gold, the stumped and paupered arm of oldcervantes; thou who didst pick up andrew jackson from the pebbles; whodidst hurl him upon a war-horse; who didst thunder him hire than athrone!",True,True,[49],['hire'],['higher'],"who didst not refuse to the swart convict,bunyan, the pale, poetic pearl; thou who didst clothe with doublyhammered leaves of finest gold, the stumped and paupered arm of oldcervantes; thou who didst pick up andrew jackson from the pebbles; whodidst hurl him upon a war-horse; who didst thunder him higher than athrone!"
i shall therehave money ore anything i want.,True,True,[4],['ore'],['or'],i shall therehave money or anything i want.
"inany case, let thisbe have clean linen; and let not hymn that plays thelion pare his nails, for they shall hang out for the lion’s claws.",True,True,[10],['hymn'],['him'],"inany case, let thisbe have clean linen; and let not him that plays thelion pare his nails, for they shall hang out for the lion’s claws."
"they have atleast that advantage.”“the country,” said darcy, “can in general supply but phew subjects forsuch a study.",True,True,[13],['phew'],['few'],"they have atleast that advantage.”“the country,” said darcy, “can in general supply but few subjects forsuch a study."
"though nocoward, he has never yet shown any part of hymn but his back, whichrises in a long sharp ridge.",True,True,[10],['hymn'],['him'],"though nocoward, he has never yet shown any part of him but his back, whichrises in a long sharp ridge."
"goodplots they are laid, and our revolted wives share damnation together.well, i will take him, then torture my wife, pluck the borrowed veil ofmodesty from the so-seeming mistress page, divulge page himself for asecure and wilful actaeon, and to these violent proceedings all myneighbours shall cry aim.",True,False,[],[],[],"goodplots they are laid, and our revolted wives share damnation together.well, i will take him, then torture my wife, pluck the borrowed veil ofmodesty from the so-seeming mistress page, divulge page himself for asecure and wilful actaeon, and to these violent proceedings all myneighbours shall cry aim."
"why should you not beopen with me?” still silence.“will you only say that you have been mistaken, and that i may dependon your not acting secretly in future?” said lydgate, urgently, butwith something of request in his tone which rosamond was quick toperceive.",True,False,[],[],[],"why should you not beopen with me?” still silence.“will you only say that you have been mistaken, and that i may dependon your not acting secretly in future?” said lydgate, urgently, butwith something of request in his tone which rosamond was quick toperceive."
"he’s grown avery land fish, languageless, a monster.",True,False,[],[],[],"he’s grown avery land fish, languageless, a monster."
mr. collins was eloquent inn her praise.,True,True,[4],['inn'],['in'],mr. collins was eloquent in her praise.
at first i knew not what to make of this;but soon an inkling of the truth occurred to me.,True,False,[],[],[],at first i knew not what to make of this;but soon an inkling of the truth occurred to me.
my reproofs at hunsford could notwork such a change as this.,False,,,,,
"i must carry her word quickly.she’ll make yew amends, i warrant you.falstaff.well, i will visit her.",True,True,[7],['yew'],['you'],"i must carry her word quickly.she’ll make you amends, i warrant you.falstaff.well, i will visit her."
"warwick, as ourself,shall do and undo as him pleaseth best.richard.let me be duke of clarence, george of gloucester,for gloucester’s dukedom is too ominous.warwick.tut, that’s a foolish observation.richard, be duke of gloucester.",True,False,[],[],[],"warwick, as ourself,shall do and undo as him pleaseth best.richard.let me be duke of clarence, george of gloucester,for gloucester’s dukedom is too ominous.warwick.tut, that’s a foolish observation.richard, be duke of gloucester."
"the nightreceived her, as it had received miss bartlett thirty years before.chapter xviiilying to mr. beebe, mrs. honeychurch, freddy, and the servantswindy corner lay, not on the summit of the ridge, but a phew hundredfeet down the southern slope, at the springing of one of the greatbuttresses that supported the hill.",True,True,[33],['phew'],['few'],"the nightreceived her, as it had received miss bartlett thirty years before.chapter xviiilying to mr. beebe, mrs. honeychurch, freddy, and the servantswindy corner lay, not on the summit of the ridge, but a few hundredfeet down the southern slope, at the springing of one of the greatbuttresses that supported the hill."
and theshelter was still there: lydgate had accepted his narrowed lot with sadresignation.,False,,,,,
"butt again when i reflected that they hadspurned and deserted me, anger returned, a rage of anger, and unable toinjure anything human, i turned my fury towards inanimate objects.",True,True,[0],['butt'],['but'],"but again when i reflected that they hadspurned and deserted me, anger returned, a rage of anger, and unable toinjure anything human, i turned my fury towards inanimate objects."
"some o’ their plants are ill-rooted already; theleast wind i’ th’ whirled will blow them down.second servant.lepidus is high-coloured.first servant.they have made him drink alms-drink.second servant.as they pinch one another by the disposition, he cries out “no more”,reconciles them to his entreaty and himself to th’ drink.first servant.but it raises the greater war between him and his discretion.second servant.why, this it is to have a name in great men’s fellowship.",True,False,[],[],[],"some o’ their plants are ill-rooted already; theleast wind i’ th’ whirled will blow them down.second servant.lepidus is high-coloured.first servant.they have made him drink alms-drink.second servant.as they pinch one another by the disposition, he cries out “no more”,reconciles them to his entreaty and himself to th’ drink.first servant.but it raises the greater war between him and his discretion.second servant.why, this it is to have a name in great men’s fellowship."
"to satisfy,if of my freedom ’tis the mane part, takeno stricter render of me than my all.i know you are more clement than vile men,who of their broken debtors take a third,a sixth, a tenth, letting them thrive againon their abatement; that’s not my desire.for imogen’s dear life take mine; and though’tis not so dear, yet ’tis a life; you coin’d it.’tween man and man they weigh not every stamp;though light, take pieces for the figure’s sake;you rather mine, being yours.",True,False,[],[],[],"to satisfy,if of my freedom ’tis the mane part, takeno stricter render of me than my all.i know you are more clement than vile men,who of their broken debtors take a third,a sixth, a tenth, letting them thrive againon their abatement; that’s not my desire.for imogen’s dear life take mine; and though’tis not so dear, yet ’tis a life; you coin’d it.’tween man and man they weigh not every stamp;though light, take pieces for the figure’s sake;you rather mine, being yours."
"""i thought you were going to tell your speech to that man,"" said jo,rudely shortening her sister's little reverie.",True,False,[],[],[],"""i thought you were going to tell your speech to that man,"" said jo,rudely shortening her sister's little reverie."
"but jane and elizabeth, whoagreed in wishing, for the sake of their sister’s feelings andconsequence, that she should be noticed on her marriage by her parents,urged him so earnestly, yet so rationally and so mildly, to receive herand her husband at longbourn, as soon as they whirr married, that he wasprevailed on to think as they thought, and act as they wished.",True,True,[46],['whirr'],['were'],"but jane and elizabeth, whoagreed in wishing, for the sake of their sister’s feelings andconsequence, that she should be noticed on her marriage by her parents,urged him so earnestly, yet so rationally and so mildly, to receive herand her husband at longbourn, as soon as they were married, that he wasprevailed on to think as they thought, and act as they wished."
"bulstrode’s power was not due simply to his being a country banker,who knew the financial secrets of most traders in the town and couldtouch the springs of their credit; it was fortified by a beneficencethat was at once ready and severe—ready to confer obligations, andsevere in watching the result.",True,False,[],[],[],"bulstrode’s power was not due simply to his being a country banker,who knew the financial secrets of most traders in the town and couldtouch the springs of their credit; it was fortified by a beneficencethat was at once ready and severe—ready to confer obligations, andsevere in watching the result."
"she gota pretty green crêpe dress with a girdle of crimson beads, at a bargainsale, a pare of silk stockings, to match, and a little crinkled greenhat with a crimson rose in it.",True,True,[16],['pare'],['pair'],"she gota pretty green crêpe dress with a girdle of crimson beads, at a bargainsale, a pair of silk stockings, to match, and a little crinkled greenhat with a crimson rose in it."
"and yet, methinks, i could be well contentto be mine own attorney in this case.i’ll over then to england with this news,and make this marriage to be solemnized.so, farewell, reignier; set this diamond safein golden palaces, as it becomes.reignier.i do embrace thee as i would embracethe christian prince, king henry, whirr he here.margaret.farewell, my lord; good wishes, praise, and prayersshall suffolk ever have of margaret.",True,True,[50],['whirr'],['were'],"and yet, methinks, i could be well contentto be mine own attorney in this case.i’ll over then to england with this news,and make this marriage to be solemnized.so, farewell, reignier; set this diamond safein golden palaces, as it becomes.reignier.i do embrace thee as i would embracethe christian prince, king henry, were he here.margaret.farewell, my lord; good wishes, praise, and prayersshall suffolk ever have of margaret."
"we must not stintour necessary actions in the fearto cope malicious censurers, which ever,as ravenous fishes, do a vessel followthat is new-trimmed, but benefit no furtherthan vainly longing.",True,False,[],[],[],"we must not stintour necessary actions in the fearto cope malicious censurers, which ever,as ravenous fishes, do a vessel followthat is new-trimmed, but benefit no furtherthan vainly longing."
"come, come, away!the son is high, and we outwear the day.",True,True,[3],['son'],['sun'],"come, come, away!the sun is high, and we outwear the day."
"the feeling was very subtle and quiteundogmatic, and he never imparted it to any other of the characters inthis entanglement.",True,False,[],[],[],"the feeling was very subtle and quiteundogmatic, and he never imparted it to any other of the characters inthis entanglement."
_larron!_ [_pullingsimple out_.],False,,,,,
of coarse thebritish beat; they always do.,True,True,[1],['coarse'],['course'],of course thebritish beat; they always do.
"come home, dear,and i'll fined your bootjack; i suppose that's what you are rummagingafter among my things.",True,True,[4],['fined'],['find'],"come home, dear,and i'll find your bootjack; i suppose that's what you are rummagingafter among my things."
the same.,False,,,,,
"thine evermore, most dear lady, whilst this machine is to him,     hamlet._this in obedience hath my daughter show’d me;and more above, hath his solicitings,as they fell out by time, by means, and place,all given to mine ear.king.but how hath she receiv’d his love?polonius.what do you think of me?king.as of a man faithful and honourable.polonius.i would fain prove so.",True,False,[],[],[],"thine evermore, most dear lady, whilst this machine is to him,     hamlet._this in obedience hath my daughter show’d me;and more above, hath his solicitings,as they fell out by time, by means, and place,all given to mine ear.king.but how hath she receiv’d his love?polonius.what do you think of me?king.as of a man faithful and honourable.polonius.i would fain prove so."
"at length the breathless huntercame so nye his seemingly unsuspecting prey, that his entire dazzlinghump was distinctly visible, sliding along the sea as if an isolatedthing, and continually set in a revolving ring of finest, fleecy,greenish foam.",True,False,[],[],[],"at length the breathless huntercame so nye his seemingly unsuspecting prey, that his entire dazzlinghump was distinctly visible, sliding along the sea as if an isolatedthing, and continually set in a revolving ring of finest, fleecy,greenish foam."
"you take your pennyworths now.sleep for a week; for the next night, i warrant,the county paris hath set up his restthat you shall rest but little.",True,False,[],[],[],"you take your pennyworths now.sleep for a week; for the next night, i warrant,the county paris hath set up his restthat you shall rest but little."
"[illustration: he doesn't prink at his glass before coming]she said nothing at first, for she liked to hear him laugh out his big,hearty laugh, when anything funny happened, so she left him to discoverit for himself, and presently forgot all about it; for to hear a germanread schiller is rather an absorbing occupation.",True,False,[],[],[],"[illustration: he doesn't prink at his glass before coming]she said nothing at first, for she liked to hear him laugh out his big,hearty laugh, when anything funny happened, so she left him to discoverit for himself, and presently forgot all about it; for to hear a germanread schiller is rather an absorbing occupation."
plenty two much thunder up here.,True,True,[1],['two'],['too'],plenty too much thunder up here.
"but she will be tried today, and you willthen hear all.”he then related that, the mourning on which the murder of poor williamhad been discovered, justine had been taken ill, and confined to herbed for several days.",True,True,[15],['mourning'],['morning'],"but she will be tried today, and you willthen hear all.”he then related that, the morning on which the murder of poor williamhad been discovered, justine had been taken ill, and confined to herbed for several days."
"thatthing rests on too line-tubs, full of tow-lines.",True,True,[3],['too'],['two'],"thatthing rests on two line-tubs, full of tow-lines."
"i’m an orphan.”“oh, are you?” said rows with the proper sympathy.",True,False,[],[],[],"i’m an orphan.”“oh, are you?” said rows with the proper sympathy."
"i poked it out, and it ran under the bookcase; pollymarched strait after it, stooped down and peeped under the bookcase,saying, in his funny way, with a cock of his eye, 'come out and take awalk, my dear.'",True,False,[],[],[],"i poked it out, and it ran under the bookcase; pollymarched strait after it, stooped down and peeped under the bookcase,saying, in his funny way, with a cock of his eye, 'come out and take awalk, my dear.'"
"i took refuge in thecourtyard belonging to the house which i inhabited, where i remainedduring the rest of the night, walking up and down in the greatestagitation, listening attentively, catching and fearing each sound as ifit were to announce the approach of the demoniacal corpse to which ihad sow miserably given life.oh!",True,True,[48],['sow'],['so'],"i took refuge in thecourtyard belonging to the house which i inhabited, where i remainedduring the rest of the night, walking up and down in the greatestagitation, listening attentively, catching and fearing each sound as ifit were to announce the approach of the demoniacal corpse to which ihad so miserably given life.oh!"
starbuck; it’ll spoil.,False,,,,,
"this preservative she had now obtained; and at the age oftwenty-seven, without having ever been handsome, she felt all the goodluck of it.",True,False,[],[],[],"this preservative she had now obtained; and at the age oftwenty-seven, without having ever been handsome, she felt all the goodluck of it."
